"","idNum","date","problem","MDC","citationIssued","personSearch","vehicleSearch","preRace","race","gender","lat","long","policePrecinct","neighborhood"
"6823","17-000003",2017-01-01 00:00:42,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.96661711,-93.24645826,1,"Cedar Riverside"
"6824","17-000007",2017-01-01 00:03:07,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Male",44.98045,-93.27134,1,"Downtown West"
"6825","17-000073",2017-01-01 00:23:15,"traffic","MDC",NA,"NO","NO","Unknown","White","Female",44.94835,-93.27538,5,"Whittier"
"6826","17-000092",2017-01-01 00:33:48,"suspicious","MDC",NA,"NO","NO","Unknown","East African","Male",44.94836,-93.28135,5,"Whittier"
"6827","17-000098",2017-01-01 00:37:58,"traffic","MDC",NA,"NO","NO","Unknown","White","Female",44.9790778,-93.26207579,1,"Downtown West"
"6828","17-000111",2017-01-01 00:46:48,"traffic","MDC",NA,"NO","NO","Unknown","East African","Male",44.98053512,-93.26362691,1,"Downtown West"
"6829","17-000114",2017-01-01 00:48:46,"suspicious","MDC",NA,"NO","NO","Unknown","Black","Male",44.98080828,-93.27314066,1,"Downtown West"
"6830","17-000120",2017-01-01 00:50:55,"traffic","MDC",NA,"NO","NO","Unknown","Other","Female",44.9820925,-93.23815506,2,"Marcy Holmes"
"6831","17-000127",2017-01-01 00:57:10,"traffic","MDC",NA,"NO","NO","Unknown","White","Male",44.99031863,-93.25204216,2,"Nicollet Island - East Bank"
"6832","17-000139",2017-01-01 01:05:50,"traffic","MDC",NA,"NO","NO","Unknown","Black","Male",45.01327,-93.30824,4,"Folwell"
"6833","17-000149",2017-01-01 01:09:13,"suspicious","MDC",NA,"NO","NO","White","Unknown","Male",44.9645834,-93.27658196,5,"Steven's Square - Loring Heights"
"6834","17-000161",2017-01-01 01:15:01,"traffic","other",NA,NA,NA,NA,NA,NA,44.97308,-93.24772,1,"Cedar Riverside"
"6835","17-000169",2017-01-01 01:19:59,"traffic","MDC",NA,"NO","NO","Unknown","Black","Male",44.99871047,-93.2530799,2,"St. Anthony East"
"6836","17-000176",2017-01-01 01:22:01,"traffic","MDC",NA,"NO","NO","Unknown","Black","Male",44.97957,-93.27257,1,"Downtown West"
"6837","17-000204",2017-01-01 01:41:24,"suspicious","MDC",NA,"NO","NO","Unknown","White","Female",44.98045,-93.27134,1,"Downtown West"
"6838","17-000211",2017-01-01 01:45:09,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.98078144,-93.27429567,1,"Downtown West"
"6839","17-000220",2017-01-01 01:51:02,"suspicious","MDC",NA,"NO","NO","Unknown","White","Female",44.9915,-93.30572,4,"Willard - Hay"
"6840","17-000224",2017-01-01 01:52:52,"suspicious","other",NA,NA,NA,NA,NA,NA,44.98124,-93.27254,1,"Downtown West"
"6841","17-000225",2017-01-01 01:53:42,"traffic","MDC",NA,"NO","NO","Unknown","White","Male",44.99871229,-93.25183571,2,"Logan Park"
"6842","17-000236",2017-01-01 02:04:13,"suspicious","MDC",NA,"NO","NO","Black","Unknown","Male",44.94925,-93.29573,5,"Lowry Hill East"
"6843","17-000244",2017-01-01 02:09:42,"traffic","MDC",NA,"NO","NO","Unknown","White","Male",44.99827813,-93.28172579,4,"Near - North"
"6844","17-000266",2017-01-01 02:22:14,"traffic","MDC",NA,"YES","YES","Unknown","Black","Female",44.99738,-93.28799,4,"Near - North"
"6845","17-000290",2017-01-01 02:33:22,"suspicious","MDC",NA,"YES","NO","Black","Black","Male",44.98074363,-93.28959927,4,"Sumner - Glenwood"
"6846","17-000298",2017-01-01 02:36:22,"traffic","MDC",NA,"NO","NO","Unknown","White","Female",44.94836,-93.29065,5,"CARAG"
"6847","17-000317",2017-01-01 02:45:38,"traffic","MDC",NA,"NO","NO","Unknown","White","Male",44.94836,-93.28555,5,"Whittier"
"6848","17-000333",2017-01-01 02:53:15,"traffic","MDC",NA,"NO","NO","Unknown","Black","Male",44.99916,-93.29564,4,"Near - North"
"6849","17-000347",2017-01-01 03:04:40,"traffic","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.96091,-93.28801,5,"Whittier"
"6850","17-000362",2017-01-01 03:14:37,"traffic","MDC",NA,"NO","NO","Unknown","East African","Male",44.94977,-93.3138,5,"Cedar - Isles - Dean"
"6851","17-000365",2017-01-01 03:16:11,"suspicious","other",NA,NA,NA,NA,NA,NA,45.01043723,-93.29305945,4,"Hawthorne"
"6852","17-000380",2017-01-01 03:23:42,"traffic","MDC",NA,"NO","NO","Unknown","White","Male",44.96419791,-93.27857261,5,"Steven's Square - Loring Heights"
"6853","17-000388",2017-01-01 03:26:59,"suspicious","MDC",NA,"NO","NO","Unknown","Unknown","Unknown",44.95463641,-93.28131035,5,"Whittier"
"6854","17-000395",2017-01-01 03:33:29,"suspicious","MDC",NA,"NO","NO","Black","Unknown","Unknown",45.02392802,-93.23903648,2,"Audubon Park"
